Nome,Partido,UF,Período,Candidatura,Foto
Rogerio Marinho,PL,RN,2023 - 2031,Ficará responsável por organizar a campanha de Flávio Bolsonaro,rogerio_marinho-rn.jpeg
Styvenson Valentim,PODEMOS,RN,2019 - 2027,Candidatura ao Senado,styvenson_valentim-rn.jpeg
Zenaide Maia,PSD,RN,2019 - 2027,Candidatura ao Senado,zenaide_maia-rn.jpeg
Confúcio Moura,MDB,RO,2019 - 2027,"Possível candidatua ao Senado, mas o martelo ainda não foi batido",confucio_moura-ro.jpeg
Jaime Bagattoli,PL,RO,2023 - 2031,Continua no mandato,jaime_bagattoli-ro.jpeg
Marcos Rogério,PL,RO,2019 - 2027,Candidatura ao governo de Rondônia,marcos_rogerio-ro.jpeg
Chico Rodrigues,PSB,RR,2019 - 2027,Candidatura ao Senado,chico_rodrigues-rr.jpeg
Dr. Hiran,PP,RR,2023 - 2031,Continua no mandato,dr_hiran-rr.jpeg
Roberta Acioly,REPUBLICANOS,RR,2019 - 2027,Candidatura à Câmara dos Deputados,roberta_acioly-rr.jpeg
Hamilton Mourão,REPUBLICANOS,RS,2023 - 2031,Continua no mandato,hamilton_mourao-rs.jpeg
Luis Carlos Heinze,PP,RS,2019 - 2027,Não será candidato ,luis_carlos_heinze-rs.jpeg
Paulo Paim,PT,RS,2019 - 2027,Não será candidato ,paulo_paim-rs.jpeg
Esperidião Amin,PP,SC,2019 - 2027,Candidatura ao Senado,esperidiao_amin-sc.jpeg
Ivete da Silveira,MDB,SC,2019 - 2027,O partido ainda negócio apoio ao governo para definir a candidatura da senadora,ivete_da_silveira-sc.jpeg
Jorge Seif,PL,SC,2023 - 2031,Continua no mandato,jorge_seif-sc.jpeg
Alessandro Vieira,MDB,SE,2019 - 2027,Candidato ao Senado,alessandro_vieira-se.jpeg
Laércio Oliveira,PP,SE,2023 - 2031,Continua no mandato,laercio_oliveira-se.jpeg
Rogério Carvalho,PT,SE,2019 - 2027,Candidatura ao Senado,rogerio_carvalho-se.jpeg
Astronauta Marcos Pontes,PL,SP,2023 - 2031,Continua no mandato,astronauta_marcos_pontes-sp.jpeg
Giordano,PODEMOS,SP,2019 - 2027,,giordano-sp.jpeg
Mara Gabrilli,PSD,SP,2019 - 2027,Candidatura a Assembleia Legislativa de São Paulo,mara_gabrilli-sp.jpeg
Eduardo Gomes,PL,TO,2019 - 2027,"Chegou a ser sondado para disputar o governo do Tocantins, mas a tendência é de que dispute a reeleição",eduardo_gomes-to.jpeg
Irajá,PSD,TO,2019 - 2027,Candidatura ao Senado,iraja-to.jpeg
Professora Dorinha Seabra,UNIÃO,TO,2023 - 2031,Candidatura ao governo do Tocantins,professora_dorinha_seabra-to.jpeg
